"DisplayName","Owner","CreationTime","ModificationTime"
"Default Domain Policy","TFTECCOMPANY\Domain Admins","2/13/2022 7:32:01 PM","2/14/2022 1:49:40 PM"
"Default Domain Controllers Policy","TFTECCOMPANY\Domain Admins","2/13/2022 7:32:01 PM","2/13/2022 7:32:00 PM"
